C,T,M,Nome,Squadra,Quotazione,ID,EID
P,P,Por,Sommer,Inter,16,2428,2428
P,P,Por,Di Gregorio,Juventus,16,5876,5876
P,P,Por,Maignan,Milan,16,4312,4312
P,P,Por,Meret,Napoli,16,572,572
P,P,Por,Svilar,Roma,15,5841,5841
P,P,Por,Carnesecchi,Atalanta,14,4431,4431
P,P,Por,De Gea,Fiorentina,14,2521,2521
P,P,Por,Provedel,Lazio,12,2814,2814
P,P,Por,Skorupski,Bologna,10,133,133
P,P,Por,Butez,Como,10,6966,6966
P,P,Por,Israel,Torino,9,7179,7179
P,P,Por,Leali,Genoa,8,188,188
P,P,Por,Caprile,Cagliari,7,4360,4360
P,P,Por,Suzuki,Parma,7,6641,6641
P,P,Por,Turati,Sassuolo,7,4867,4867
P,P,Por,Falcone,Lecce,6,2134,2134
P,P,Por,Okoye,Udinese,6,6462,6462
P,P,Por,Audero,Cremonese,5,761,761
P,P,Por,Montipò,Verona,5,4957,4957
P,P,Por,Milinkovic-Savic V.,Napoli,4,2170,2170
P,P,Por,Sava,Udinese,4,6842,6842
P,P,Por,Ravaglia F.,Bologna,3,2722,2722
P,P,Por,Mandas,Lazio,3,6482,6482
P,P,Por,Scuffet,Pisa,3,574,574
P,P,Por,Semper,Pisa,3,2861,2861
P,P,Por,Martinez Jo.,Inter,2,5116,5116
P,P,Por,Rossi F.,Atalanta,1,2297,2297
P,P,Por,Sportiello,Atalanta,1,4,4
P,P,Por,Pessina Mas.,Bologna,1,7172,7172
P,P,Por,Ciocci,Cagliari,1,4929,4929
P,P,Por,Radunovic,Cagliari,1,3,3
P,P,Por,Vigorito,Como,1,2809,2809
P,P,Por,Nava,Cremonese,1,6505,6505
P,P,Por,Christensen O.,Fiorentina,1,6403,6403
P,P,Por,Martinelli T.,Fiorentina,1,6184,6184
P,P,Por,Siegrist,Genoa,1,6991,6991
P,P,Por,Sommariva,Genoa,1,219,219
P,P,Por,Di Gennaro,Inter,1,1926,1926
P,P,Por,Perin,Juventus,1,218,218
P,P,Por,Pinsoglio,Juventus,1,1930,1930
P,P,Por,Furlanetto,Lazio,1,6417,6417
P,P,Por,Fruchtl,Lecce,1,2401,2401
P,P,Por,Samooja,Lecce,1,6523,6523
P,P,Por,Terracciano,Milan,1,2815,2815
P,P,Por,Torriani,Milan,1,6813,6813
P,P,Por,Contini,Napoli,1,2845,2845
P,P,Por,Corvi,Parma,1,6662,6662
P,P,Por,Rinaldi,Parma,1,5338,5338
P,P,Por,Nicolas,Pisa,1,2271,2271
P,P,Por,Zelezny,Roma,1,7169,7169
P,P,Por,Gollini,Roma,1,610,610
P,P,Por,Russo A.,Sassuolo,1,4518,4518
P,P,Por,Satalino,Sassuolo,1,2127,2127
P,P,Por,Donnarumma An.,Torino,1,216,216
P,P,Por,Paleari,Torino,1,5320,5320
P,P,Por,Popa,Torino,1,6210,6210
P,P,Por,Padelli,Udinese,1,543,543
P,P,Por,Perilli,Verona,1,511,511
P,P,Por,Vasquez D.,Roma,1,6125,6125
P,P,Por,Nunziante,Udinese,1,7185,7185
D,D,E,Dumfries,Inter,20,5513,5513
D,D,E,Dimarco,Inter,19,254,254
D,D,E,Gosens,Fiorentina,18,2160,2160
D,D,E,Zortea,Cagliari,16,4433,4433
D,D,Dc,Bastoni,Inter,16,2120,2120
D,D,E,Cambiaso,Juventus,15,5520,5520
D,D,E,Angelino,Roma,15,4772,4772
D,D,Dd;E,Di Lorenzo,Napoli,14,2816,2816
D,D,E,Wesley,Roma,14,7181,7181
D,D,E,Bellanova,Atalanta,13,4887,4887
